TICKER,THEME
NEWR,Cloud_AI_Software
NOW,Cloud_AI_Software
PATH,Cloud_AI_Software
PD,Cloud_AI_Software
PLTR,Cloud_AI_Software
ROKU,Cloud_AI_Software
SAP,Cloud_AI_Software
SHOP,Cloud_AI_Software
SNOW,Cloud_AI_Software
SOUN,Cloud_AI_Software
TEAM,Cloud_AI_Software
TTD,Cloud_AI_Software
TWLO,Cloud_AI_Software
U,Cloud_AI_Software
UBER,Cloud_AI_Software
WDAY,Cloud_AI_Software
ZM,Cloud_AI_Software
A,Digital_Bio_AI
ABBV,Digital_Bio_AI
ABCL,Digital_Bio_AI
ABSI,Digital_Bio_AI
ALNY,Digital_Bio_AI
AMGN,Digital_Bio_AI
AZN,Digital_Bio_AI
BEAM,Digital_Bio_AI
BMRN,Digital_Bio_AI
BMY,Digital_Bio_AI
BNTX,Digital_Bio_AI
CERT,Digital_Bio_AI
CRBU,Digital_Bio_AI
CRSP,Digital_Bio_AI
DGX,Digital_Bio_AI
DHR,Digital_Bio_AI
DNA,Digital_Bio_AI
DNLI,Digital_Bio_AI
EDIT,Digital_Bio_AI
EXAI,Digital_Bio_AI
EXAS,Digital_Bio_AI
FATE,Digital_Bio_AI
GEHC,Digital_Bio_AI
GH,Digital_Bio_AI
GILD,Digital_Bio_AI
GSK,Digital_Bio_AI
ILMN,Digital_Bio_AI
IQV,Digital_Bio_AI
ISRG,Digital_Bio_AI
JNJ,Digital_Bio_AI
KMT,Digital_Bio_AI
LH,Digital_Bio_AI
LLY,Digital_Bio_AI
MRK,Digital_Bio_AI
MRNA,Digital_Bio_AI
MRTX,Digital_Bio_AI
NBIX,Digital_Bio_AI
NTLA,Digital_Bio_AI
NTRA,Digital_Bio_AI
NVO,Digital_Bio_AI
NVS,Digital_Bio_AI
PACB,Digital_Bio_AI
PFE,Digital_Bio_AI
PRLD,Digital_Bio_AI
RARE,Digital_Bio_AI
REGN,Digital_Bio_AI
RHHBY,Digital_Bio_AI
RLAY,Digital_Bio_AI
RPRX,Digital_Bio_AI
RXRX,Digital_Bio_AI
SANA,Digital_Bio_AI
SDGR,Digital_Bio_AI
SNY,Digital_Bio_AI
SRPT,Digital_Bio_AI
SYK,Digital_Bio_AI
TAK,Digital_Bio_AI
TEM,Digital_Bio_AI
TMO,Digital_Bio_AI
TWST,Digital_Bio_AI
TXG,Digital_Bio_AI
VKTX,Digital_Bio_AI
VRTX,Digital_Bio_AI
ABB,Physical_AI_Humanoids_SmartFactory
ADSK,Physical_AI_Humanoids_SmartFactory
AVEVA,Physical_AI_Humanoids_SmartFactory
BSY,Physical_AI_Humanoids_SmartFactory
DASTY,Physical_AI_Humanoids_SmartFactory
DE,Physical_AI_Humanoids_SmartFactory
FANUY,Physical_AI_Humanoids_SmartFactory
HON,Physical_AI_Humanoids_SmartFactory
PTC,Physical_AI_Humanoids_SmartFactory
ROK,Physical_AI_Humanoids_SmartFactory
SBGSY,Physical_AI_Humanoids_SmartFactory
SIEGY,Physical_AI_Humanoids_SmartFactory
SYM,Physical_AI_Humanoids_SmartFactory
YASKY,Physical_AI_Humanoids_SmartFactory
ZBRA,Physical_AI_Humanoids_SmartFactory
AEVA,Robotics_SmartFactory
AGCO,Robotics_SmartFactory
ARCB,Robotics_SmartFactory
CNHI,Robotics_SmartFactory
GXO,Robotics_SmartFactory
INVZ,Robotics_SmartFactory
IRBT,Robotics_SmartFactory
JBHT,Robotics_SmartFactory
KNX,Robotics_SmartFactory
LAZR,Robotics_SmartFactory
MBLY,Robotics_SmartFactory
ODFL,Robotics_SmartFactory
OUST,Robotics_SmartFactory
SAIA,Robotics_SmartFactory
TSLA,Robotics_SmartFactory
XPO,Robotics_SmartFactory
AAPL,AI_ValueUp_DataSovereignty_IP
CMCSA,AI_ValueUp_DataSovereignty_IP
DIS,AI_ValueUp_DataSovereignty_IP
DLB,AI_ValueUp_DataSovereignty_IP
EA,AI_ValueUp_DataSovereignty_IP
EBAY,AI_ValueUp_DataSovereignty_IP
ETSY,AI_ValueUp_DataSovereignty_IP
FOXA,AI_ValueUp_DataSovereignty_IP
GOOG,AI_ValueUp_DataSovereignty_IP
IDCC,AI_ValueUp_DataSovereignty_IP
LYFT,AI_ValueUp_DataSovereignty_IP
LYV,AI_ValueUp_DataSovereignty_IP
META,AI_ValueUp_DataSovereignty_IP
NFLX,AI_ValueUp_DataSovereignty_IP
NWSA,AI_ValueUp_DataSovereignty_IP
NYT,AI_ValueUp_DataSovereignty_IP
PARA,AI_ValueUp_DataSovereignty_IP
PINS,AI_ValueUp_DataSovereignty_IP
RBLX,AI_ValueUp_DataSovereignty_IP
RDDT,AI_ValueUp_DataSovereignty_IP
SNAP,AI_ValueUp_DataSovereignty_IP
SPOT,AI_ValueUp_DataSovereignty_IP
TTWO,AI_ValueUp_DataSovereignty_IP
VRSN,AI_ValueUp_DataSovereignty_IP
WBD,AI_ValueUp_DataSovereignty_IP
WMG,AI_ValueUp_DataSovereignty_IP
XPERI,AI_ValueUp_DataSovereignty_IP
IONQ,Quantum_Computing
QBTS,Quantum_Computing
QUBT,Quantum_Computing
RGTI,Quantum_Computing
ADYEY,Fintech_Payments
AFRM,Fintech_Payments
AXP,Fintech_Payments
BAC,Fintech_Payments
C,Fintech_Payments
CBOE,Fintech_Payments
CME,Fintech_Payments
COF,Fintech_Payments
CPAY,Fintech_Payments
DFS,Fintech_Payments
FI,Fintech_Payments
FIS,Fintech_Payments
FLT,Fintech_Payments
GPN,Fintech_Payments
GS,Fintech_Payments
HOOD,Fintech_Payments
IBKR,Fintech_Payments
ICE,Fintech_Payments
JPM,Fintech_Payments
MA,Fintech_Payments
MCO,Fintech_Payments
MS,Fintech_Payments
MSCI,Fintech_Payments
NDAQ,Fintech_Payments
NU,Fintech_Payments
PAGS,Fintech_Payments
PYPL,Fintech_Payments
SCHW,Fintech_Payments
SOFI,Fintech_Payments
SPGI,Fintech_Payments
SQ,Fintech_Payments
STNE,Fintech_Payments
UPST,Fintech_Payments
V,Fintech_Payments
WEX,Fintech_Payments
WFC,Fintech_Payments
BITF,Crypto_AI_Infrastructure
BTDR,Crypto_AI_Infrastructure
CAN,Crypto_AI_Infrastructure
CIFR,Crypto_AI_Infrastructure
CLSK,Crypto_AI_Infrastructure
COIN,Crypto_AI_Infrastructure
HIVE,Crypto_AI_Infrastructure
HUT,Crypto_AI_Infrastructure
IREN,Crypto_AI_Infrastructure
MARA,Crypto_AI_Infrastructure
MSTR,Crypto_AI_Infrastructure
RIOT,Crypto_AI_Infrastructure
SDIG,Crypto_AI_Infrastructure
SOS,Crypto_AI_Infrastructure
WULF,Crypto_AI_Infrastructure
005930.KS,AI_Semicon
000660.KS,AI_Semicon
